country,type,annualMassDirectCO2PerEnergy,massDirectCO2PerEnergy,massIndirectCO2ePerEnergy,massLifeCycleCO2ePerEnergy,percentElectricity,percentHeat,percentLossesElectricity,percentLossesHeat,units,source
Austria,electricity generation,0.18276,0.20713,0.0277,0.23483,0.79023719,0.20976281,0.055733675,0.080056725,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Belgium,electricity generation,0.24898,0.26261,0.03512,0.29773,0.917218533,0.082781467,0.048182511,0.053777857,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Bulgaria,electricity generation,0.48886,0.47264,0.0632,0.53584,0.747801262,0.252198738,0.154162794,0.132486965,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Cyprus,electricity generation,0.75866,0.76764,0.10265,0.87029,1,0,0.044450239,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Czech Republic,electricity generation,0.54389,0.535,0.07154,0.60654,0.698238206,0.301761794,0.080384403,0.166246926,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Denmark,electricity generation,0.30776,0.31935,0.0427,0.36205,0.52956153,0.47043847,0.050942013,0.200567181,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Estonia,electricity generation,0.75186,0.71249,0.09528,0.80777,0.590451394,0.409548606,0.152134854,0.150683943,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Finland,electricity generation,0.18712,0.22048,0.02948,0.24996,0.610241692,0.389758308,0.035826752,0.059803012,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
France,electricity generation,0.08272,0.08632,0.01154,0.09786,0.924781628,0.075218372,0.069852197,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Germany,electricity generation,0.44118,0.43123,0.05767,0.4889,0.756995062,0.243004938,0.052862984,0.077995903,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Greece,electricity generation,0.73122,0.752,0.10056,0.85256,0.991214148,0.008785852,0.088992743,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Hungary,electricity generation,0.33084,0.35072,0.0469,0.39762,0.688530217,0.311469783,0.106626343,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Ireland,electricity generation,0.48621,0.53828,0.07198,0.61026,1,0,0.079251324,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Italy,electricity generation,0.39846,0.40773,0.05452,0.46225,0.849128815,0.150871185,0.063247475,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Latvia,electricity generation,0.16224,0.16432,0.02197,0.18629,0.375188098,0.624811902,0.120181446,0.161384384,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Lithuania,electricity generation,0.11444,0.12462,0.01666,0.14128,0.517533747,0.482466253,0.120167014,0.156697623,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Luxembourg,electricity generation,0.31478,0.32606,0.0436,0.36966,0.857558511,0.142441489,0.016711077,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Malta,electricity generation,0.84871,0.88788,0.11873,1.00661,1,0,0.136448828,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Netherlands,electricity generation,0.39208,0.39365,0.05264,0.44629,0.707747842,0.292252158,0.040857556,0.17134142,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Poland,electricity generation,0.65344,0.66027,0.08829,0.74856,0.630840512,0.369159488,0.114029012,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Portugal,electricity generation,0.38354,0.42786,0.05721,0.48507,0.927713163,0.072286837,0.075751492,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Romania,electricity generation,0.41665,0.42034,0.05621,0.47655,0.647986066,0.352013934,0.138419237,0.220208841,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Slovak Republic,electricity generation,0.21715,0.22777,0.03046,0.25823,0.697749418,0.302250582,0.054198156,0.146342586,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Slovenia,electricity generation,0.32883,0.34715,0.04642,0.39357,0.853174277,0.146825723,0.06316468,0.153496892,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Spain,electricity generation,0.32588,0.37206,0.04975,0.42181,1,0,0.070135423,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Sweden,electricity generation,0.03994,0.04459,0.00596,0.05055,0.751500322,0.248499678,0.078040658,0.036513157,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
European Union 27,electricity generation,0.35085,0.35899,0.04801,0.407,0.812406861,0.187593139,0.069703895,0.077707353,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Australia,electricity generation,0.88331,0.89875,0.12018,1.01893,1,0,0.078093644,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Brazil,electricity generation,0.08885,0.08232,0.01101,0.09333,0.996876405,0.003123595,0.156970376,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Canada,electricity generation,0.18058,0.19865,0.02656,0.22521,0.984028359,0.015971641,0.0868116,5.55738E-06,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"Peoples Republic of China",electricity generation,0.74484,0.77675,0.10387,0.88062,0.81139887,0.18860113,0.071403926,0.014460823,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Chinese Taipei,electricity generation,0.65024,0.65246,0.08725,0.73971,1,0,0.041495144,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Croatia,electricity generation,0.34142,0.33211,0.04441,0.37652,0.78560779,0.21439221,0.118632825,0.141069955,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Egypt,electricity generation,0.45976,0.46616,0.06234,0.5285,1,0,0.125821596,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Gibraltar,electricity generation,0.7567,0.76503,0.1023,0.86733,1,0,0,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Hong Kong (China),electricity generation,0.75742,0.75812,0.10138,0.8595,1,0,0.106615328,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Iceland,electricity generation,0.00075,0.00078,0.0001,0.00088,0.794681117,0.205318883,0.043477637,0.123660328,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
India,electricity generation,0.96823,0.94294,0.12609,1.06903,1,0,0.259437643,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Indonesia,electricity generation,0.72614,0.71229,0.09525,0.80754,1,0,0.115960519,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Israel,electricity generation,0.6933,0.75074,0.10039,0.85113,1,0,0.029563313,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Japan,electricity generation,0.43645,0.43268,0.05786,0.49054,0.993616027,0.006383973,0.048822787,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"Republic of Korea",electricity generation,0.45924,0.46272,0.06188,0.5246,0.883045062,0.116954938,0.037421115,0.021016607,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Malaysia,electricity generation,0.65592,0.60329,0.08067,0.68396,1,0,0.028509165,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Mexico,electricity generation,0.43996,0.48738,0.06517,0.55255,1,0,0.175126316,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
New Zealand,electricity generation,0.21352,0.2128,0.02846,0.24126,0.991479012,0.008520988,0.076193704,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Norway,electricity generation,0.00524,0.00647,0.00087,0.00734,0.971739656,0.028260344,0.08539864,0.130999157,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Pakistan,electricity generation,0.45112,0.41484,0.05547,0.47031,1,0,0.23129549,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Philippines,electricity generation,0.48677,0.45682,0.06109,0.51791,1,0,0.134915443,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Russian Federation,electricity generation,0.32551,0.32522,0.04349,0.36871,0.367319867,0.632680133,0.138702291,0.063577694,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Saudi Arabia,electricity generation,0.75419,0.75468,0.10092,0.8556,1,0,0.09297945,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Singapore,electricity generation,0.53104,0.57093,0.07635,0.64728,1,0,0.057567748,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
South Africa,electricity generation,0.83495,0.84689,0.11325,0.96014,1,0,0.096036751,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Switzerland,electricity generation,0.02739,0.02895,0.00387,0.03282,0.931174088,0.068825912,0.068572357,0.085877159,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Thailand,electricity generation,0.52911,0.52994,0.07086,0.6008,1,0,0.07370176,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Turkey,electricity generation,0.49528,0.45149,0.06037,0.51186,0.946852346,0.053147654,0.152998939,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Ukraine,electricity generation,0.38611,0.3479,0.04652,0.39442,0.521955472,0.478044528,0.159221024,0.251657316,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
United States,electricity generation,0.53503,0.55346,0.07401,0.62747,0.973589884,0.026410116,0.065481844,0.180075941,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Africa,electricity generation,0.61928,0.62863,0.08406,0.71269,0.99956213,0.00043787,0.124874658,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Latin America,electricity generation,0.20189,0.19363,0.02589,0.21952,0.998643447,0.001356553,0.165127303,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Middle-East,electricity generation,0.68707,0.68893,0.09213,0.78106,1,0,0.132285413,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Non-OECD Europe,electricity generation,0.50924,0.49947,0.06679,0.56626,0.748241982,0.251758018,0.152881681,0.158829103,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
United Kingdom,electricity generation,0.48548,0.49154,0.06573,0.56055,,,,,," Annex 3, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Austria,electricity distribution and transmission,0.01264,0.01345,0.0018,0.01525,0.79023719,0.20976281,0.055733675,0.080056725,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Belgium,electricity distribution and transmission,0.07896,0.01342,0.00179,0.01521,0.917218533,0.082781467,0.048182511,0.053777857,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Bulgaria,electricity distribution and transmission,0.02505,0.08212,0.01098,0.0931,0.747801262,0.252198738,0.154162794,0.132486965,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Cyprus,electricity distribution and transmission,0.06339,0.03576,0.00478,0.04054,1,0,0.044450239,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Czech Republic,electricity distribution and transmission,0.04456,0.06462,0.00864,0.07326,0.698238206,0.301761794,0.080384403,0.166246926,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Denmark,electricity distribution and transmission,0.1214,0.04301,0.00575,0.04876,0.52956153,0.47043847,0.050942013,0.200567181,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Estonia,electricity distribution and transmission,0.00898,0.12729,0.01702,0.14431,0.590451394,0.409548606,0.152134854,0.150683943,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Finland,electricity distribution and transmission,0.00566,0.01021,0.00137,0.01158,0.610241692,0.389758308,0.035826752,0.059803012,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
France,electricity distribution and transmission,0.02762,0.0058,0.00078,0.00658,0.924781628,0.075218372,0.069852197,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Germany,electricity distribution and transmission,0.06459,0.02721,0.00364,0.03085,0.756995062,0.243004938,0.052862984,0.077995903,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Greece,electricity distribution and transmission,0.02609,0.07281,0.00974,0.08255,0.991214148,0.008785852,0.088992743,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Hungary,electricity distribution and transmission,0.04097,0.02827,0.00378,0.03205,0.688530217,0.311469783,0.106626343,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Ireland,electricity distribution and transmission,0.02337,0.04635,0.0062,0.05255,1,0,0.079251324,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Italy,electricity distribution and transmission,0.02301,0.02418,0.00323,0.02741,0.849128815,0.150871185,0.063247475,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Latvia,electricity distribution and transmission,0.01606,0.02718,0.00363,0.03081,0.375188098,0.624811902,0.120181446,0.161384384,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Lithuania,electricity distribution and transmission,0.00593,0.02041,0.00273,0.02314,0.517533747,0.482466253,0.120167014,0.156697623,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Luxembourg,electricity distribution and transmission,0.15206,0.00499,0.00067,0.00566,0.857558511,0.142441489,0.016711077,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Malta,electricity distribution and transmission,0.02843,0.14028,0.01876,0.15904,1,0,0.136448828,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Netherlands,electricity distribution and transmission,0.04142,0.02967,0.00397,0.03364,0.707747842,0.292252158,0.040857556,0.17134142,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Poland,electricity distribution and transmission,0.03066,0.04617,0.00617,0.05234,0.630840512,0.369159488,0.114029012,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Portugal,electricity distribution and transmission,0.08505,0.03267,0.00437,0.03704,0.927713163,0.072286837,0.075751492,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Romania,electricity distribution and transmission,0.01607,0.08507,0.01138,0.09645,0.647986066,0.352013934,0.138419237,0.220208841,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Slovak Republic,electricity distribution and transmission,0.0254,0.01997,0.00267,0.02264,0.697749418,0.302250582,0.054198156,0.146342586,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Slovenia,electricity distribution and transmission,0.01842,0.02863,0.00383,0.03246,0.853174277,0.146825723,0.06316468,0.153496892,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Spain,electricity distribution and transmission,0.00296,0.02861,0.00383,0.03244,1,0,0.070135423,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Sweden,electricity distribution and transmission,0.03848,0.00319,0.00043,0.00362,0.751500322,0.248499678,0.078040658,0.036513157,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
European Union 27,electricity distribution and transmission,0.02596,0.02752,0.00368,0.0312,0.812406861,0.187593139,0.069703895,0.077707353,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Australia,electricity distribution and transmission,0.07015,0.07624,0.0102,0.08644,1,0,0.078093644,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Brazil,electricity distribution and transmission,0.01671,0.01534,0.00205,0.01739,0.996876405,0.003123595,0.156970376,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
