country,type,annualMassDirectCO2PerEnergy,massDirectCO2PerEnergy,massIndirectCO2ePerEnergy,massLifeCycleCO2ePerEnergy,percentElectricity,percentHeat,percentLossesElectricity,percentLossesHeat,units,source
Canada,electricity distribution and transmission,0.01726,0.01845,0.00247,0.02092,0.984028359,0.015971641,0.0868116,5.55738E-06,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"Peoples Republic of China",electricity distribution and transmission,0.04298,0.0501,0.0067,0.0568,0.81139887,0.18860113,0.071403926,0.014460823,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Chinese Taipei,electricity distribution and transmission,0.02657,0.02824,0.00378,0.03202,1,0,0.041495144,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Croatia,electricity distribution and transmission,0.03894,0.04594,0.00614,0.05208,0.78560779,0.21439221,0.118632825,0.141069955,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Egypt,electricity distribution and transmission,0.05736,0.06751,0.00903,0.07654,1,0,0.125821596,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Gibraltar,electricity distribution and transmission,0,0,0,0,1,0,0,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Hong Kong (China),electricity distribution and transmission,0.08893,0.0905,0.0121,0.1026,1,0,0.106615328,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Iceland,electricity distribution and transmission,0.00003,0.00005,0.00001,0.00006,0.794681117,0.205318883,0.043477637,0.123660328,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
India,electricity distribution and transmission,0.3118,0.33075,0.04423,0.37498,1,0,0.259437643,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Indonesia,electricity distribution and transmission,0.08463,0.09331,0.01248,0.10579,1,0,0.115960519,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Israel,electricity distribution and transmission,0.01734,0.02297,0.00307,0.02604,1,0,0.029563313,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Japan,electricity distribution and transmission,0.02306,0.02205,0.00295,0.025,0.993616027,0.006383973,0.048822787,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"Republic of Korea",electricity distribution and transmission,0.01693,0.01697,0.00227,0.01924,0.883045062,0.116954938,0.037421115,0.021016607,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Malaysia,electricity distribution and transmission,0.01863,0.01761,0.00235,0.01996,1,0,0.028509165,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Mexico,electricity distribution and transmission,0.09455,0.10345,0.01383,0.11728,1,0,0.175126316,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
New Zealand,electricity distribution and transmission,0.01809,0.01755,0.00235,0.0199,0.991479012,0.008520988,0.076193704,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Norway,electricity distribution and transmission,0.00048,0.00062,0.00008,0.0007,0.971739656,0.028260344,0.08539864,0.130999157,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Pakistan,electricity distribution and transmission,0.123,0.12444,0.01664,0.14108,1,0,0.23129549,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Philippines,electricity distribution and transmission,0.07597,0.07126,0.00953,0.08079,1,0,0.134915443,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Russian Federation,electricity distribution and transmission,0.03576,0.03134,0.00419,0.03553,0.367319867,0.632680133,0.138702291,0.063577694,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Saudi Arabia,electricity distribution and transmission,0.07749,0.07757,0.01037,0.08794,1,0,0.09297945,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Singapore,electricity distribution and transmission,0.03154,0.035,0.00468,0.03968,1,0,0.057567748,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
South Africa,electricity distribution and transmission,0.09303,0.09024,0.01207,0.10231,1,0,0.096036751,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Switzerland,electricity distribution and transmission,0.00206,0.00217,0.00029,0.00246,0.931174088,0.068825912,0.068572357,0.085877159,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Thailand,electricity distribution and transmission,0.03498,0.0422,0.00564,0.04784,1,0,0.07370176,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Turkey,electricity distribution and transmission,0.07855,0.07515,0.01005,0.0852,0.946852346,0.053147654,0.152998939,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Ukraine,electricity distribution and transmission,0.09152,0.0894,0.01195,0.10135,0.521955472,0.478044528,0.159221024,0.251657316,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
United States,electricity distribution and transmission,0.03604,0.04003,0.00535,0.04538,0.973589884,0.026410116,0.065481844,0.180075941,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Africa,electricity distribution and transmission,0.08483,0.0899,0.01202,0.10192,0.99956213,0.00043787,0.124874658,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Latin America,electricity distribution and transmission,0.03924,0.03829,0.00512,0.04341,0.998643447,0.001356553,0.165127303,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Middle-East,electricity distribution and transmission,0.10707,0.10505,0.01405,0.1191,1,0,0.132285413,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Non-OECD Europe,electricity distribution and transmission,0.09098,0.09115,0.01219,0.10334,0.748241982,0.251758018,0.152881681,0.158829103,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
United Kingdom,electricity distribution and transmission,0.03872,0.04001,0.00485,0.04513,,,,,," Annex 3, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Austria,electricity consumption,0.19451,0.22059,0.0295,0.25009,0.79023719,0.20976281,0.055733675,0.080056725,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Belgium,electricity consumption,0.26162,0.27603,0.03691,0.31294,0.917218533,0.082781467,0.048182511,0.053777857,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Bulgaria,electricity consumption,0.56782,0.55476,0.07418,0.62894,0.747801262,0.252198738,0.154162794,0.132486965,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Cyprus,electricity consumption,0.78371,0.8034,0.10743,0.91083,1,0,0.044450239,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Czech Republic,electricity consumption,0.60728,0.59962,0.08018,0.6798,0.698238206,0.301761794,0.080384403,0.166246926,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Denmark,electricity consumption,0.35232,0.36236,0.04846,0.41082,0.52956153,0.47043847,0.050942013,0.200567181,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Estonia,electricity consumption,0.87326,0.83978,0.1123,0.95208,0.590451394,0.409548606,0.152134854,0.150683943,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Finland,electricity consumption,0.1961,0.23069,0.03085,0.26154,0.610241692,0.389758308,0.035826752,0.059803012,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
France,electricity consumption,0.08838,0.09212,0.01232,0.10444,0.924781628,0.075218372,0.069852197,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Germany,electricity consumption,0.4688,0.45843,0.0613,0.51973,0.756995062,0.243004938,0.052862984,0.077995903,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Greece,electricity consumption,0.79581,0.82481,0.1103,0.93511,0.991214148,0.008785852,0.088992743,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Hungary,electricity consumption,0.35693,0.37899,0.05068,0.42967,0.688530217,0.311469783,0.106626343,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Ireland,electricity consumption,0.52718,0.58463,0.07818,0.66281,1,0,0.079251324,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Italy,electricity consumption,0.42183,0.43191,0.05776,0.48967,0.849128815,0.150871185,0.063247475,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Latvia,electricity consumption,0.18525,0.1915,0.02561,0.21711,0.375188098,0.624811902,0.120181446,0.161384384,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Lithuania,electricity consumption,0.1305,0.14503,0.01939,0.16442,0.517533747,0.482466253,0.120167014,0.156697623,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Luxembourg,electricity consumption,0.32071,0.33105,0.04427,0.37532,0.857558511,0.142441489,0.016711077,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Malta,electricity consumption,1.00077,1.02816,0.13749,1.16565,1,0,0.136448828,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Netherlands,electricity consumption,0.42051,0.42332,0.05661,0.47993,0.707747842,0.292252158,0.040857556,0.17134142,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Poland,electricity consumption,0.69486,0.70644,0.09447,0.80091,0.630840512,0.369159488,0.114029012,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Portugal,electricity consumption,0.4142,0.46054,0.06158,0.52212,0.927713163,0.072286837,0.075751492,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Romania,electricity consumption,0.5017,0.50541,0.06758,0.57299,0.647986066,0.352013934,0.138419237,0.220208841,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Slovak Republic,electricity consumption,0.23322,0.24774,0.03313,0.28087,0.697749418,0.302250582,0.054198156,0.146342586,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Slovenia,electricity consumption,0.35423,0.37578,0.05025,0.42603,0.853174277,0.146825723,0.06316468,0.153496892,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Spain,electricity consumption,0.3443,0.40067,0.05358,0.45425,1,0,0.070135423,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Sweden,electricity consumption,0.0429,0.04779,0.00639,0.05418,0.751500322,0.248499678,0.078040658,0.036513157,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
European Union 27,electricity consumption,0.37681,0.38651,0.05169,0.4382,0.812406861,0.187593139,0.069703895,0.077707353,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Australia,electricity consumption,0.95346,0.97499,0.13038,1.10537,1,0,0.078093644,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Brazil,electricity consumption,0.10556,0.09766,0.01306,0.11072,0.996876405,0.003123595,0.156970376,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Canada,electricity consumption,0.19784,0.2171,0.02903,0.24613,0.984028359,0.015971641,0.0868116,5.55738E-06,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"Peoples Republic of China",electricity consumption,0.78782,0.82686,0.11057,0.93743,0.81139887,0.18860113,0.071403926,0.014460823,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Chinese Taipei,electricity consumption,0.67681,0.68071,0.09103,0.77174,1,0,0.041495144,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Croatia,electricity consumption,0.38036,0.37806,0.05056,0.42862,0.78560779,0.21439221,0.118632825,0.141069955,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Egypt,electricity consumption,0.51712,0.53367,0.07136,0.60503,1,0,0.125821596,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Gibraltar,electricity consumption,0.7567,0.76503,0.1023,0.86733,1,0,0,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Hong Kong (China),electricity consumption,0.84635,0.84862,0.11348,0.9621,1,0,0.106615328,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Iceland,electricity consumption,0.00078,0.00082,0.00011,0.00093,0.794681117,0.205318883,0.043477637,0.123660328,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
India,electricity consumption,1.28003,1.27369,0.17032,1.44401,1,0,0.259437643,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Indonesia,electricity consumption,0.81077,0.8056,0.10773,0.91333,1,0,0.115960519,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Israel,electricity consumption,0.71064,0.77371,0.10346,0.87717,1,0,0.029563313,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Japan,electricity consumption,0.45951,0.45472,0.06081,0.51553,0.993616027,0.006383973,0.048822787,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
"Republic of Korea",electricity consumption,0.47617,0.47968,0.06414,0.54382,0.883045062,0.116954938,0.037421115,0.021016607,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Malaysia,electricity consumption,0.67455,0.6209,0.08303,0.70393,1,0,0.028509165,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Mexico,electricity consumption,0.53451,0.59083,0.07901,0.66984,1,0,0.175126316,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
New Zealand,electricity consumption,0.23161,0.23035,0.0308,0.26115,0.991479012,0.008520988,0.076193704,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Norway,electricity consumption,0.00572,0.00708,0.00095,0.00803,0.971739656,0.028260344,0.08539864,0.130999157,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Pakistan,electricity consumption,0.57412,0.53929,0.07212,0.61141,1,0,0.23129549,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Philippines,electricity consumption,0.56274,0.52807,0.07061,0.59868,1,0,0.134915443,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Russian Federation,electricity consumption,0.36127,0.35656,0.04768,0.40424,0.367319867,0.632680133,0.138702291,0.063577694,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Saudi Arabia,electricity consumption,0.83168,0.83225,0.11129,0.94354,1,0,0.09297945,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Singapore,electricity consumption,0.56258,0.60593,0.08103,0.68696,1,0,0.057567748,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
South Africa,electricity consumption,0.92798,0.93713,0.12532,1.06245,1,0,0.096036751,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Switzerland,electricity consumption,0.02945,0.03112,0.00416,0.03528,0.931174088,0.068825912,0.068572357,0.085877159,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Thailand,electricity consumption,0.56409,0.57214,0.07651,0.64865,1,0,0.07370176,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Turkey,electricity consumption,0.57383,0.52665,0.07043,0.59708,0.946852346,0.053147654,0.152998939,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Ukraine,electricity consumption,0.47763,0.4373,0.05848,0.49578,0.521955472,0.478044528,0.159221024,0.251657316,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
United States,electricity consumption,0.57107,0.59349,0.07936,0.67285,0.973589884,0.026410116,0.065481844,0.180075941,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Africa,electricity consumption,0.70411,0.71853,0.09608,0.81461,0.99956213,0.00043787,0.124874658,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Latin America,electricity consumption,0.24113,0.23192,0.03101,0.26293,0.998643447,0.001356553,0.165127303,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Middle-East,electricity consumption,0.79414,0.79398,0.10617,0.90015,1,0,0.132285413,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Non-OECD Europe,electricity consumption,0.60022,0.59062,0.07898,0.6696,0.748241982,0.251758018,0.152881681,0.158829103,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
United Kingdom,electricity consumption,0.5242,0.53156,0.07058,0.60568,,,,,," Annex 3, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"

