"fuel","context","density","LHV","EFLHVNRGCO2","EFLHVNRGCH4","EFLHVNRGN2O","HHVConversion","units","source"
"Refinery gas","Residential","-1.0","49.500",57600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Institutional","840.0","43.000",74100.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coking coal","Residential","-1.0","28.200",94600.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biogasoline","Energy","-1.0","27.000",70800.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oil shale and tar sands","Residential","-1.0","8.900",107000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coking coal","Forestry","-1.0","28.200",94600.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Manufacturing","-1.0","18.900",96100.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Patent fuel","Manufacturing","-1.0","20.700",97500.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Aviation gasoline","Residential","710.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Blast furnace gas","Commercial","-1.0","2.470",260000.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Orimulsion","Forestry","-1.0","27.500",77000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas coke","Commercial","-1.0","28.200",107000.00,5.00,0.10,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal wastes (Biomass fraction)","Energy","-1.0","11.600",100000.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal waste (Non biomass fraction)","Energy","-1.0","10.000",91700.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Shale oil","Agriculture","1000.0","38.100",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Anthracite","Fisheries","-1.0","26.700",98300.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet gasoline","Agriculture","-1.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet kerosene","Institutional","790.0","44.100",71500.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Construction","840.0","43.000",74100.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal waste (Non biomass fraction)","Forestry","-1.0","10.000",91700.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lubricants","Energy","1000.0","40.200",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet gasoline","Energy","-1.0","44.300",70000.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Blast furnace gas","Agriculture","-1.0","2.470",260000.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other primary solid biomass fuels","Forestry","-1.0","11.600",100000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Naphtha","Commercial","770.0","44.500",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Distillate fuel oil No.1","General","845.0","43.910",72322.00,0.00,0.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Pulverised dry bottom, tangentially fired","-1.0","18.900",96100.00,0.70,1.40,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery gas","Construction","-1.0","49.500",57600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Manufacturing","840.0","43.000",74100.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Aviation gasoline","Forestry","710.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"White Spirit/SBP","Commercial","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery feedstocks","Institutional","-1.0","43.000",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet kerosene","Residential","790.0","44.100",71500.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Paraffin waxes","Construction","-1.0","40.200",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Shale oil","Manufacturing","1000.0","38.100",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Orimulsion","Manufacturing","-1.0","27.500",77000.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Orimulsion","Construction","-1.0","27.500",77000.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas coke","Institutional","-1.0","28.200",107000.00,5.00,0.10,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lubricants","Agriculture","1000.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Waste oils","Manufacturing","-1.0","40.200",73300.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Charcoal","Institutional","-1.0","29.500",112000.00,200.00,1.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sludge gas","Institutional","-1.0","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas works gas","Institutional","-1.0","38.700",44400.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven gas","Agriculture","-1.0","38.700",44400.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Forestry","840.0","43.000",74100.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Petroleum coke","Fisheries","-1.0","32.500",97500.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas coke","Agriculture","-1.0","28.200",107000.00,5.00,0.10,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Gas fired turbines >3MW","0.7","48.000",56100.00,4.00,1.00,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Petroleum coke","Forestry","-1.0","32.500",97500.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"White Spirit/SBP","Agriculture","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Anthracite","Residential","-1.0","26.700",98300.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oxygen steel furnace gas","Commercial","-1.0","7.060",182000.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"White Spirit/SBP","Construction","-1.0","40.200",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Patent fuel","Residential","-1.0","20.700",97500.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Liquified Petroleum Gases","Institutional","540.0","47.300",63100.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Blast furnace gas","Construction","-1.0","2.470",260000.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other liquid biofuels","Forestry","-1.0","27.400",79600.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Pulverised wet bottom","-1.0","18.900",96100.00,0.90,1.40,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sulphite lyes (Black liqour)","Manufacturing","-1.0","11.800",95300.00,3.00,2.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Liquified Petroleum Gases","Agriculture","540.0","47.300",63100.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Crude oil","Institutional","800.0","42.300",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Aviation gasoline","Commercial","710.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Fluidised bubbling bed combustor","-1.0","25.800",94600.00,1.00,61.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Peat","Forestry","-1.0","9.760",106000.00,300.00,1.40,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Wood or Wood waste","Agriculture","-1.0","15.600",112000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery feedstocks","Residential","-1.0","43.000",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other petroleum products","Institutional","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Peat","Residential","-1.0","9.760",106000.00,300.00,1.40,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oxygen steel furnace gas","Agriculture","-1.0","7.060",182000.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bitumen","Manufacturing","-1.0","40.200",80700.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sludge gas","Forestry","-1.0","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ethane","Agriculture","1.3","46.400",61600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery feedstocks","Energy","-1.0","43.000",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Petroleum coke","Residential","-1.0","32.500",97500.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sulphite lyes (Black liqour)","Residential","-1.0","11.800",95300.00,3.00,2.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery feedstocks","Manufacturing","-1.0","43.000",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Reciprocating engine, 4-stroke lean burn","0.7","48.000",56100.00,597.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Liquified Petroleum Gases","Boilers","540.0","47.300",63100.00,0.90,4.00,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oxygen steel furnace gas","Forestry","-1.0","7.060",182000.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biodiesels","Institutional","-1.0","27.000",70800.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sludge gas","Residential","-1.0","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Lime kilns","0.7","48.000",56100.00,2.70,0.00,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sulphite lyes (Black liqour)","Fisheries","-1.0","11.800",95300.00,3.00,2.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Construction","-1.0","18.900",96100.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Residential","-1.0","18.900",96100.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite coke","Institutional","-1.0","28.200",107000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Motor gasoline","Institutional","740.0","44.300",69300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil","Other","940.0","40.400",77400.00,3.00,0.30,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Calciners","0.7","48.000",56100.00,2.70,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Shale oil","Forestry","1000.0","38.100",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas works gas","Manufacturing","-1.0","38.700",44400.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas works gas","Forestry","-1.0","38.700",44400.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other kerosene","Forestry","800.0","43.800",71900.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brown coal briquettes","Agriculture","-1.0","20.700",97500.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven coke","Energy","-1.0","28.200",107000.00,1.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Agriculture","-1.0","25.800",94600.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Liquified Petroleum Gases","Manufacturing","540.0","47.300",63100.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ethane","Forestry","1.3","46.400",61600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Blast furnace gas","Institutional","-1.0","2.470",260000.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Shale oil","Energy","1000.0","38.100",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other kerosene","Fisheries","800.0","43.800",71900.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Paraffin waxes","Fisheries","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Motor gasoline","Commercial","740.0","44.300",69300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Crude oil","Manufacturing","800.0","42.300",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas works gas","Construction","-1.0","38.700",44400.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet gasoline","Construction","-1.0","44.300",70000.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Motor gasoline","Agriculture","740.0","44.300",69300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Energy","0.7","48.000",56100.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"White Spirit/SBP","Institutional","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other primary solid biomass fuels","Fisheries","-1.0","11.600",100000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Blast furnace gas","Forestry","-1.0","2.470",260000.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Wood or Wood waste","Institutional","-1.0","15.600",112000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other petroleum products","Commercial","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Paraffin waxes","Agriculture","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Reciprocating engines, 4-stroke rich burn","0.7","48.000",56100.00,110.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lubricants","Forestry","1000.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other petroleum products","Manufacturing","-1.0","40.200",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven gas","Construction","-1.0","38.700",44400.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ethane","Commercial","1.3","46.400",61600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other petroleum products","Agriculture","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal wastes (Biomass fraction)","Construction","-1.0","11.600",100000.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil","Construction","940.0","40.400",77400.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other liquid biofuels","Fisheries","-1.0","27.400",79600.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biogasoline","Agriculture","-1.0","27.000",70800.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Crude oil","Energy","800.0","42.300",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite","Residential","-1.0","11.900",101000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Lime kilns","840.0","43.000",74100.00,2.70,0.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Crude oil","Fisheries","800.0","42.300",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal tar","Energy","-1.0","28.000",80700.00,1.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biodiesels","Manufacturing","-1.0","27.000",70800.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Paraffin waxes","Energy","-1.0","40.200",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Charcoal","Forestry","-1.0","29.500",112000.00,200.00,1.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Paraffin waxes","Forestry","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite coke","Manufacturing","-1.0","28.200",107000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Motor gasoline","Manufacturing","740.0","44.300",69300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coking coal","Institutional","-1.0","28.200",94600.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biogasoline","Institutional","-1.0","27.000",70800.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Landfill gas","Manufacturing","0.9","50.400",54600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Commercial","-1.0","25.800",94600.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven coke","Residential","-1.0","28.200",107000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sludge gas","Commercial","-1.0","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal tar","Institutional","-1.0","28.000",80700.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other petroleum products","Construction","-1.0","40.200",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biogasoline","Fisheries","-1.0","27.000",70800.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural Gas Liquids","Fisheries","-1.0","44.200",64200.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Blast furnace gas","Manufacturing","-1.0","2.470",260000.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite","Energy","-1.0","11.900",101000.00,1.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal tar","Residential","-1.0","28.000",80700.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Calciners","840.0","43.000",74100.00,2.70,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Charcoal","Manufacturing","-1.0","29.500",112000.00,200.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil","Institutional","940.0","40.400",77400.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil","Commercial","940.0","40.400",77400.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other kerosene","Residential","800.0","43.800",71900.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Wood or Wood waste","Manufacturing","-1.0","15.600",112000.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Construction","-1.0","25.800",94600.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery gas","Energy","-1.0","49.500",57600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas coke","Forestry","-1.0","28.200",107000.00,5.00,0.10,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oxygen steel furnace gas","Fisheries","-1.0","7.060",182000.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal waste (Non biomass fraction)","Commercial","-1.0","10.000",91700.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil No.6","General","1010.0","40.200",80543.00,0.00,0.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ethane","Fisheries","1.3","46.400",61600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Blast furnace gas","Energy","-1.0","2.470",260000.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Distillate fuel oil No.2","General","845.0","43.910",72907.00,0.00,0.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Butane","General","580.0","44.310",69179.00,0.00,0.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Charcoal","Fisheries","-1.0","29.500",112000.00,200.00,1.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sulphite lyes (Black liqour)","Forestry","-1.0","11.800",95300.00,3.00,2.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural Gas Liquids","Institutional","-1.0","44.200",64200.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite coke","Agriculture","-1.0","28.200",107000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite coke","Forestry","-1.0","28.200",107000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural Gas Liquids","Commercial","-1.0","44.200",64200.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lubricants","Commercial","1000.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas coke","Manufacturing","-1.0","28.200",107000.00,1.00,0.10,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Industrial wastes","Energy","-1.0","-1.000",143000.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet gasoline","Residential","-1.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coking coal","Manufacturing","-1.0","28.200",94600.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"White Spirit/SBP","Forestry","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Petroleum coke","Energy","-1.0","32.500",97500.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biogasoline","Construction","-1.0","27.000",70800.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
