"material","type","subtype","energyPerMass","massCO2PerMass","massCO2ePerMass","boundary","note","units","source"
"Linoleum","General",,25.000,1.210,,"Cradle to grave","Data difficult to select, large data range.",,"http://people.bath.ac.uk/cj219/"
"Lithium",,,853.000,5.300,,"Not specified","Ref. 22.",,"http://people.bath.ac.uk/cj219/"
"Mandolite",,,63.000,1.400,,"Not specified","Ref. 1.",,"http://people.bath.ac.uk/cj219/"
"Manganese",,,52.000,3.500,,"Not specified","Ref. 22.",,"http://people.bath.ac.uk/cj219/"
"Mercury",,,87.000,4.940,,"Not specified","Ref. 22.",,"http://people.bath.ac.uk/cj219/"
"Mineral fibre tile","Roofing",,37.000,2.700,,"Not specified","Ref. 1.",,"http://people.bath.ac.uk/cj219/"
"Molybedenum",,,378.000,30.300,,"Not specified","Ref. 22.",,"http://people.bath.ac.uk/cj219/"
"Nickel",,,164.000,12.400,,"Not specified","Ref. 114.",,"http://people.bath.ac.uk/cj219/"
"Paint","General",,70.000,2.420,2.910,"Cradle to gate","Large variations in data, especially for embodied carbon. Includes feedstock energy. Water based paints have a 70% market share.  Water based paint has a lower embodied energy than solvent based paint.",,"http://people.bath.ac.uk/cj219/"
"Paint","Solventborne",,97.000,3.130,3.760,"Cradle to gate","Solventborne paint has a 30% share of the market. Includes feedstock energy.  It was  difficult to estimate carbon emissions for Solventborne paint.",,"http://people.bath.ac.uk/cj219/"
"Paint","Waterborne",,59.000,2.120,2.540,"Cradle to gate","Waterborne paint has a 70% of market share. Includes feedstock energy.",,"http://people.bath.ac.uk/cj219/"
"Paper","Fine",,28.200,1.490,,"Cradle to gate","Excluding CV of wood, excludes carbon sequestration",,"http://people.bath.ac.uk/cj219/"
"Paper","Paperboard","General for construction use",24.800,1.290,,"Cradle to gate","Excluding calorific value (CV) of wood, excludes carbon sequestration/biogenic carbon storage.",,"http://people.bath.ac.uk/cj219/"
"Paper","Wallpaper",,36.400,1.930,,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Perlite","Expanded",,10.000,0.520,,"Not specified","Ref. 114.",,"http://people.bath.ac.uk/cj219/"
"Perlite","Natural",,0.660,0.030,,"Not specified","Ref. 114.",,"http://people.bath.ac.uk/cj219/"
"Plaster","General (Gypsum)",,1.800,0.120,0.130,"Cradle to gate","Problems selecting good value, inconsistent figures, West et al believe this is because of past aggregation of EE with cement",,"http://people.bath.ac.uk/cj219/"
"Plaster","Plasterboard",,6.750,0.380,0.390,"Cradle to gate","See Ref [WRAP] for further info on GWP data, including disposal impacts which are significant for Plasterboard.",,"http://people.bath.ac.uk/cj219/"
"Plastics","ABS",,95.300,3.050,3.760,"Cradle to gate","48.6 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","General",,80.500,2.730,3.310,"Cradle to gate","35.6 MJ/kg Feedstock Energy  (Included). Determined by the average use of each type of plastic used in the European construction industry.",,"http://people.bath.ac.uk/cj219/"
"Plastics","General polyethylene",,83.100,2.040,2.540,"Cradle to gate","54.4 MJ/kg Feedstock Energy  (Included). Based on average consumption of types of polyethylene in European construction",,"http://people.bath.ac.uk/cj219/"
"Plastics","High Density Polyethylene Pipe",,84.400,2.020,2.520,"Cradle to gate","55.1 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","High Density Polyethylene Resin",,76.700,1.570,1.930,"Cradle to gate","54.3 MJ/kg Feedstock Energy  (Included). Doesn’t include the final fabrication.",,"http://people.bath.ac.uk/cj219/"
"Plastics","Low Density Polyethylene  Film",,89.300,2.130,2.600,"Cradle to gate","55.2 MJ/kg Feedstock Energy (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","Low Density Polyethylene Resin",,78.100,1.690,2.080,"Cradle to gate","51.6 MJ/kg Feedstock Energy  (Included). Doesn't include the final fabrication",,"http://people.bath.ac.uk/cj219/"
"Plastics","Nylon (Polyamide)","6 Polymer",120.500,5.470,9.140,"Cradle to gate","38.6 MJ/kg Feedstock Energy  (Included). Doesn’t include final fabrication. Plastics Europe state that two thirds of nylon is used as fibres (textiles, carpets…etc) in Europe and that most of the remainder as injection mouldings.",,"http://people.bath.ac.uk/cj219/"
"Plastics","Nylon (Polyamide)","6,6 Polymer",138.600,6.540,7.920,"Cradle to gate","50.7 MJ/kg Feedstock Energy  (Included). Doesn’t include final fabrication (i.e. injection moulding). See comments for Nylon 6 polymer.",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polycarbonate",,112.900,6.030,7.620,"Cradle to gate","36.7 MJ/kg Feedstock Energy  (Included). Doesn’t include final fabrication.",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polypropylene","Injection Moulding",115.100,3.930,4.490,"Cradle to gate","54 MJ/kg Feedstock Energy  (Included). If biomass benefits are included the CO2 may reduce to 3.85 kgCO2/kg, and GWP down to 4.41 kg CO2e/kg.",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polypropylene","Orientated film",99.200,2.970,3.430,"Cradle to gate","55.7 MJ/kg Feedstock Energy  (Included).",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polystyrene","Expanded",88.600,2.550,3.290,"Cradle to gate","46.2 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polystyrene","General purpose",86.400,2.710,3.430,"Cradle to gate","46.3 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polystyrene","High impact",87.400,2.760,3.420,"Cradle to gate","46.4 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polystyrene","Thermoformed expanded",109.200,3.450,4.390,"Cradle to gate","49.7 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polyurethane flexible foam",,102.100,4.060,4.840,"Cradle to gate","33.47 MJ/kg Feedstock Energy  (Included). Poor data availability for feedstock energy",,"http://people.bath.ac.uk/cj219/"
"Plastics","Polyurethane rigid foam",,101.500,3.480,4.260,"Cradle to gate","37.07 MJ/kg Feedstock Energy  (Included). Poor data availability for feedstock energy",,"http://people.bath.ac.uk/cj219/"
"Plastics","PVC","Calendered Sheet",68.600,2.610,3.190,"Cradle to gate","24.4 MJ/kg Feedstock Energy  (Included). If biomass benefits are included the CO2 may reduce to 2.56 kgCO2/kg, and GWP down to 3.15 kg CO2e/kg.",,"http://people.bath.ac.uk/cj219/"
"Plastics","PVC","General",77.200,2.610,3.100,"Cradle to gate","28.1 MJ/kg Feedstock Energy  (Included). Based on market average consumption of types of PVC in the European construction industry",,"http://people.bath.ac.uk/cj219/"
"Plastics","PVC","Injection Moulding",95.100,2.690,3.300,"Cradle to gate","35.1 MJ/kg Feedstock Energy  (Included). If biomass benefits are included the CO2 may reduce to 2.23 kgCO2/kg, and GWP down to 2.84 kg CO2e/kg.",,"http://people.bath.ac.uk/cj219/"
"Plastics","PVC","Pipe",67.500,2.560,3.230,"Cradle to gate","24.4 MJ/kg Feedstock Energy  (Included). If biomass benefits are included the CO2 may reduce to 2.51 kgCO2/kg, and GWP down to 3.23 kg CO2e/kg.",,"http://people.bath.ac.uk/cj219/"
"Plastics","UPVC film",,69.400,2.570,3.160,"Cradle to gate","25.3 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Quartz powder",,,0.852,0.023,,"Not specified","Ref. 114.",,"http://people.bath.ac.uk/cj219/"
"Rubber","General",,91.000,2.660,2.850,"Cradle to gate","40 MJ/kg Feedstock Energy  (Included)",,"http://people.bath.ac.uk/cj219/"
"Sand","General",,0.081,0.005,0.005,"Cradle to gate","Estimated from real UK industrial fuel consumption data",,"http://people.bath.ac.uk/cj219/"
"Sealants and adhesives","Epoxide resin",,137.000,5.700,,"Cradle to gate","42.6 MJ/kg Feedstock Energy  (Included). Source: www.plasticseurope.org",,"http://people.bath.ac.uk/cj219/"
"Sealants and adhesives","Mastic sealant","Lower",62.000,,,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Sealants and adhesives","Mastic sealant","Mean",131.000,,,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Sealants and adhesives","Mastic sealant","Upper",200.000,,,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Sealants and adhesives","Melamine resin",,97.000,4.190,,"Cradle to gate","Feedstock energy 18 MJ/kg - estimated from Ref 34.",,"http://people.bath.ac.uk/cj219/"
"Sealants and adhesives","Phenol formaldehyde",,88.000,2.980,,"Cradle to grave","Feedstock energy 32 MJ/kg - estimated from Ref 34.",,"http://people.bath.ac.uk/cj219/"
"Sealants and adhesives","Urea formaldehyde",,70.000,2.760,,"Cradle to site","Feedstock energy 18 MJ/kg - estimated from Ref 34.",,"http://people.bath.ac.uk/cj219/"
"Shingle",,,11.300,0.300,,"Not specified","Ref. 70.",,"http://people.bath.ac.uk/cj219/"
"Silicon",,,2355.000,,,"Not specified","Ref. 167.",,"http://people.bath.ac.uk/cj219/"
"Silver",,,128.200,6.310,,"Not specified","Ref. 148.",,"http://people.bath.ac.uk/cj219/"
"Slag (GGBS)",,,1.600,0.083,,"Not specified","Ground Granulated Blast Furnace Slag (GGBS), economic allocation.",,"http://people.bath.ac.uk/cj219/"
"Soil","Cement stabilised soil",5%,0.680,0.060,0.061,"Cradle to site","Assumed 5% cement content.",,"http://people.bath.ac.uk/cj219/"
"Soil","Cement stabilised soil",8%,0.830,0.082,0.084,"Cradle to site","Assumed 8% stabiliser content (6% cement and 2% lime).",,"http://people.bath.ac.uk/cj219/"
"Soil","Fly ash stabilised soil",,0.560,0.039,0.041,"Cradle to site","Assumed 10% stabiliser content (8% fly ash and 2% lime).",,"http://people.bath.ac.uk/cj219/"
"Soil","General (rammed Soil)",,0.450,0.023,0.024,"Cradle to site",,,"http://people.bath.ac.uk/cj219/"
"Soil","GGBS stabilised soil",,0.650,0.045,0.047,"Cradle to site","Assumed 8% stabiliser content (8% GGBS and 2% lime).",,"http://people.bath.ac.uk/cj219/"
"Steel","Bar and rod","EU average",17.400,1.310,1.400,"Cradle to gate"," EU 3-average recycled content of 59%",,"http://people.bath.ac.uk/cj219/"
"Steel","Bar and rod","Recycled",8.800,0.420,0.450,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Steel","Bar and rod","Rest of world average",22.300,1.820,1.950,"Cradle to gate","Comments above apply. See material profile for further information.",,"http://people.bath.ac.uk/cj219/"
"Steel","Bar and rod","Virgin",29.200,2.590,2.770,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Steel","Bar and rod","World average",21.600,1.740,1.860,"Cradle to gate","Comments above apply. See material profile for further information.",,"http://people.bath.ac.uk/cj219/"
"Steel","Coil (sheet)","EU average",18.800,1.300,1.380,"Cradle to gate","Effective recycled content because recycling route is not typical.  EU 3-average recycled content of 59%",,"http://people.bath.ac.uk/cj219/"
"Steel","Coil (sheet)","Rest of world average",24.400,1.810,1.920,"Cradle to gate","Comments above apply. See material profile for further information.",,"http://people.bath.ac.uk/cj219/"
"Steel","Coil (sheet)","Virgin",32.800,2.580,2.740,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Steel","Coil (sheet)","World average",23.500,1.740,1.850,"Cradle to gate","Comments above apply. See material profile for further information.",,"http://people.bath.ac.uk/cj219/"
"Steel","Engineering","Recycled",13.100,0.680,0.720,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Steel","Galvanised coil (sheet)","EU average",22.600,1.450,1.540,"Cradle to gate","Effective recycled content because recycling route is not typical.  EU 3-average recycled content of 59%",,"http://people.bath.ac.uk/cj219/"
"Steel","Galvanised coil (sheet)","Rest of world average",29.500,2.000,2.120,"Cradle to gate","Comments above apply. See material profile for further information.",,"http://people.bath.ac.uk/cj219/"
"Steel","Galvanised coil (sheet)","Virgin",40.000,2.840,3.010,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Steel","Galvanised coil (sheet)","World average",28.500,1.920,2.030,"Cradle to gate","Comments above apply. See material profile for further information.",,"http://people.bath.ac.uk/cj219/"
"Steel","General","EU average",20.100,1.370,1.460,"Cradle to gate","EU 3-average recycled content of 59%. Estimated from UK's consumption mixture of types of steel (excluding stainless). All data doesn't include the final cutting of the steel products to the specified dimensions or further fabrication activities.",,"http://people.bath.ac.uk/cj219/"
"Steel","General","Recycled",9.400,0.440,0.470,"Cradle to gate","Could not collect strong statistics on consumption mix of recycled steel.",,"http://people.bath.ac.uk/cj219/"
"Steel","General","Rest of world average",26.200,1.900,2.030,"Cradle to gate","Rest of World (non-E.U.) consumption of steel. 3 year average recycled content of 35.5%.",,"http://people.bath.ac.uk/cj219/"
"Steel","General","Virgin",35.400,2.710,2.890,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Steel","General","World average",25.300,1.820,1.950,"Cradle to gate","Whole world 3 year average recycled content of 39%.",,"http://people.bath.ac.uk/cj219/"
"Steel","Pipe","EU average",19.800,1.370,1.450,"Cradle to gate","Effective recycled content because recycling route is not typical.  EU 3-average recycled content of 59%",,"http://people.bath.ac.uk/cj219/"
"Steel","Pipe","Rest of world average",25.800,1.900,2.010,"Cradle to gate","Comments above apply. See material profile for further information.",,"http://people.bath.ac.uk/cj219/"
"Steel","Pipe","Virgin",34.700,2.710,2.870,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Steel","Pipe","World average",24.900,1.830,1.940,"Cradle to gate","Comments above apply. See material profile for further information.",,"http://people.bath.ac.uk/cj219/"
"Steel","Plate","EU average",25.100,1.550,1.660,"Cradle to gate","Effective recycled content because recycling route is not typical.  EU 3-average recycled content of 59%",,"http://people.bath.ac.uk/cj219/"
"Steel","Plate","Rest of world average",33.200,2.150,2.310,"Cradle to gate","Comments above apply. See material profile for further information.",,"http://people.bath.ac.uk/cj219/"
"Steel","Plate","Virgin",45.400,3.050,3.270,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Steel","Plate","World average",32.000,2.060,2.210,"Cradle to gate","Comments above apply. See material profile for further information.",,"http://people.bath.ac.uk/cj219/"
"Steel","Section","EU average",21.500,1.420,1.530,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Steel","Section","Recycled",10.000,0.440,0.470,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Steel","Section","Rest of world average",28.100,1.970,2.120,"Cradle to gate","Comments above apply. See material profile for further information.",,"http://people.bath.ac.uk/cj219/"
"Steel","Section","Virgin",38.000,2.820,3.030,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Steel","Section","World average",27.100,1.890,2.030,"Cradle to gate","Comments above apply. See material profile for further information.",,"http://people.bath.ac.uk/cj219/"
"Steel","Stainless",,56.700,6.145,,"Cradle to gate","World average data from the Institute of Stainless Steel Forum (ISSF) life cycle inventory data. Selected data is for the most popular grade (304). Stainless steel does not have separate primary and recycled material production routes.",,"http://people.bath.ac.uk/cj219/"
"Steel","Wire","Virgin",36.000,2.830,3.020,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Stone","General",,1.260,0.073,0.079,"Cradle to gate","ICE database average (statistic), uncertain. See material profile.",,"http://people.bath.ac.uk/cj219/"
"Stone","Granite",,11.000,0.640,0.700,"Cradle to gate","Estimated from Ref 116.",,"http://people.bath.ac.uk/cj219/"
"Stone","Limestone",,1.500,0.087,0.090,"Cradle to gate","Estimated from Ref 188.",,"http://people.bath.ac.uk/cj219/"
"Stone","Marble",,2.000,0.116,0.130,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Stone","Marble tile",,3.330,0.192,0.210,"Cradle to grave","Ref. 40.",,"http://people.bath.ac.uk/cj219/"
"Stone","Sandstone",,1.000,0.058,0.060,"Cradle to gate","Uncertain estimate based on Ref. 262.",,"http://people.bath.ac.uk/cj219/"
"Stone","Shale",,0.030,0.002,0.002,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Stone","Slate","Lower",0.100,0.006,0.007,"Cradle to gate","Large data range",,"http://people.bath.ac.uk/cj219/"
"Stone","Slate","Mean",0.550,0.032,0.035,"Cradle to gate","Large data range",,"http://people.bath.ac.uk/cj219/"
"Stone","Slate","Upper",1.000,0.058,0.063,"Cradle to gate","Large data range",,"http://people.bath.ac.uk/cj219/"
"Straw",,,0.240,0.010,,"Not specified","Refs. 63, 201, 202 and 281.",,"http://people.bath.ac.uk/cj219/"
"Terrazzo tiles",,,1.400,0.118,,"Not specified","Ref. 1.",,"http://people.bath.ac.uk/cj219/"
"Timber","General",,10.000,0.300,0.310,"Cradle to gate","Estimated from UK consumption mixture of timber products in 2007 (Timber Trade Federation statistics). Includes 4.3 MJ bio-energy. All values do not include the CV of timber product and exclude carbon storage.",,"http://people.bath.ac.uk/cj219/"
"Timber","Glue laminated timber",,12.000,0.390,0.420,"Cradle to gate","Includes 4.9 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Timber","Hardboard",,16.000,0.540,0.580,"Cradle to gate","Hardboard is a type of fibreboard with a density above 800 kg/m3. Includes 5.6 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Timber","Laminated veneer lumber",,9.500,0.310,0.330,"Cradle to gate","Ref 150. Includes 3.5 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Timber","MDF",,11.000,0.370,0.390,"Cradle to gate","Wide density range (350-800 kg/m3). Includes 3.8 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Timber","Oriented Strand Board (OSB)",,15.000,0.420,0.450,"Cradle to gate","Estimated from Refs. 103 and 150. Includes 5.9 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Timber","Particle board",,14.500,0.520,0.540,"Cradle to gate","Very large data range, difficult to select appropriate values. Modified from CORRIM reports. Includes 3.2 MJ bio-energy (uncertain estimate).",,"http://people.bath.ac.uk/cj219/"
"Timber","Plywood",,15.000,0.420,0.450,"Cradle to gate","Includes 7.1 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Timber","Sawn hardwood",,10.400,0.230,0.240,"Cradle to gate","It was difficult to select values for hardwood, the data was estimated from the CORRIM studies (Ref. 88). Includes 6.3 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Timber","Sawn softwood",,7.400,0.190,0.200,"Cradle to gate","Includes 4.2 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Timber","Veneer particleboard (furniture)",,23.000,,,"Cradle to gate","Unknown split of fossil based and biogenic fuels.",,"http://people.bath.ac.uk/cj219/"
"Tin","General",,250.000,13.500,14.470,"Cradle to gate","lack of modern data, large data range",,"http://people.bath.ac.uk/cj219/"
"Tin","Tin coated plate (steel)","Lower",19.200,1.040,,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Tin","Tin coated plate (steel)","Mean",36.950,1.995,,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Tin","Tin coated plate (steel)","Upper",54.700,2.950,,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Titanium","Recycled",,258.000,13.700,14.700,"Cradle to gate","lack of modern data, large data range, small sample size",,"http://people.bath.ac.uk/cj219/"
"Titanium","Virgin","Lower",361.000,19.200,20.600,"Cradle to gate","lack of modern data, large data range, small sample size",,"http://people.bath.ac.uk/cj219/"
"Titanium","Virgin","Mean",553.000,29.400,31.550,"Cradle to gate","lack of modern data, large data range, small sample size",,"http://people.bath.ac.uk/cj219/"
"Titanium","Virgin","Upper",745.000,39.600,42.500,"Cradle to gate","lack of modern data, large data range, small sample size",,"http://people.bath.ac.uk/cj219/"
"Vanadium",,,3710.000,228.000,,"Not specified","Ref. 22.",,"http://people.bath.ac.uk/cj219/"
"Vermiculite","Expanded",,7.200,0.520,,"Not specified","Ref. 114.",,"http://people.bath.ac.uk/cj219/"
"Vermiculite","Natural",,0.720,0.032,,"Not specified","Ref. 114.",,"http://people.bath.ac.uk/cj219/"
"Vicuclad",,,70.000,,,"Not specified","Ref. 1.",,"http://people.bath.ac.uk/cj219/"
"Vinyl flooring","General",,68.600,2.610,3.190,"Cradle to gate","23.58 MJ/kg Feedstock Energy  (Included), Same value as PVC calendered sheet. Note: the book version of ICE contains the wrong values. These values are up to date",,"http://people.bath.ac.uk/cj219/"
"Vinyl flooring","Vinyl composite tiles (VCT)",,13.700,,,"Cradle to grave","Ref. 94.",,"http://people.bath.ac.uk/cj219/"
"Water",,,0.010,0.001,,"Not specified",,,"http://people.bath.ac.uk/cj219/"
"Wax",,,52.000,,,"Not specified","Ref. 169.",,"http://people.bath.ac.uk/cj219/"
"Wood stain/varnish",,,50.000,5.350,,"Not specified","Ref. 1.",,"http://people.bath.ac.uk/cj219/"
"Yttrium",,,1470.000,84.000,,"Not specified","Ref. 22.",,"http://people.bath.ac.uk/cj219/"
"Zinc","General","Average",53.100,2.880,3.090,"Cradle to gate","Uncertain carbon estimates, currently estimated from typical UK industrial fuel mix. Recycled content of general Zinc 30%.",,"http://people.bath.ac.uk/cj219/"
"Zinc","General","Recycled",9.000,0.490,0.520,"Cradle to gate","Uncertain carbon estimates, currently estimated from typical UK industrial fuel mix. Recycled content of general Zinc 30%.",,"http://people.bath.ac.uk/cj219/"
"Zinc","General","Virgin",72.000,3.900,4.180,"Cradle to gate","Uncertain carbon estimates, currently estimated from typical UK industrial fuel mix. Recycled content of general Zinc 30%.",,"http://people.bath.ac.uk/cj219/"
"Zirconium",,,1610.000,97.200,,"Not specified","Ref. 22.",,"http://people.bath.ac.uk/cj219/"
