"gas","name","formula","GWP","residenceTime","gwp_SAR_100","gwp_4AR_20","gwp_4AR_100","gwp_4AR_500","units","source"
"C10F18","perfluorodecalin","C10F18",7500.000,1000.000,,5500.000,7500.000,9500.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf; values are minimum estimates"
"C2F6","perfluoroethane      ","C2F6",9200.000,10000.000,9200.000,8630.000,12200.000,18200.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"C3F8","perfluoropropane     ","C3F8",7000.000,2600.000,7000.000,6310.000,8830.000,12500.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"C4F10","perfluorobutane      ","C4F10",7000.000,2600.000,7000.000,6330.000,8860.000,12500.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"C4F8","perfluorocyclobutane ","c-C4F8 ",8700.000,3200.000,8700.000,7310.000,10300.000,14700.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"C5F12","perfluoropentane     ","C5F12",7500.000,4100.000,7500.000,6510.000,9160.000,13300.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf; http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"C6F14","perfluorohexane","C6F14",7400.000,3200.000,7400.000,6600.000,9300.000,13300.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CCl4 ","carbon tetrachloride","CCl4 ",1400.000,26.000,1400.000,2700.000,1400.000,435.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CF4","perfluoromethane     ","CF4",6500.000,50000.000,6500.000,5210.000,7390.000,11200.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CFC-11","trichlorofluoromethane","CCl3F",4750.000,45.000,3800.000,6730.000,4750.000,1620.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CFC-113","trichlorotrifluoroethane","CCl2FCClF2",6130.000,85.000,4800.000,6540.000,6130.000,2700.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CFC-114","dichlorotetrafluoroethane","CClF2CClF2",10000.000,300.000,,8040.000,10000.000,8730.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CFC-115","chloropentafluoroethane","CClF2CF3 ",7370.000,1700.000,,5310.000,7370.000,9990.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CFC-12","dichlorodifluoromethane","CCl2F2",10900.000,100.000,8100.000,11000.000,10900.000,5200.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CFC-13","chlorotrifluoromethane","CClF3",14400.000,640.000,,10800.000,14400.000,16400.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CH2Cl2","methylene chrloride","CH2Cl2",8.700,0.380,,31.000,8.700,2.700,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CH3Br ","methyl bromide","CH3Br ",5.000,0.700,,17.000,5.000,1.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CH3CCl ","methyl chloroform","CH3CCl ",146.000,5.000,,506.000,146.000,45.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CH3Cl ","methyl chloride","CH3Cl ",13.000,1.000,,45.000,13.000,4.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CH3OCH3","dimethylether","CH3OCH3",1.000,0.015,,1.000,1.000,1.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf; 500yr value is minimum estimate"
"CH4","methane","CH4",21.000,12.000,21.000,72.000,25.000,7.600,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CO","carbon monoxide","CO",1.900,,,,,,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"CO2                  ","carbon dioxide","CO2",1.000,,1.000,1.000,1.000,1.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"Halon-1211","bromochlorodifluoromethane","CBrClF2",1890.000,16.000,,4750.000,1890.000,575.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"Halon-1301","bromotrifluoromethane","CBrF3",7140.000,65.000,5400.000,8480.000,7140.000,2760.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"Halon-2402","dibromotetrafluoroethane","CBrF2CBrF2",1640.000,20.000,,3680.000,1640.000,503.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HCFC-123","HCFC-123","CHCl2CF3 ",77.000,1.300,90.000,273.000,77.000,24.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HCFC-124","HCFC-124","CHClFCF3",609.000,5.800,470.000,7070.000,609.000,185.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HCFC-141b","HCFC-141b","CH3CCl2F",725.000,9.300,,2250.000,725.000,220.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HCFC-142b","HCFC-142b","CH3CClF2",2310.000,17.900,1800.000,5490.000,2310.000,705.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HCFC-22","chlorodifluoromethane","CHClF2 ",1810.000,12.000,1500.000,5160.000,1810.000,549.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HCFC-225ca","HCFC-225ca","CHCl2CF2CF3",122.000,1.900,,429.000,122.000,37.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HCFC-225cb","HCFC-225cb","CHClFCF2CClF2",595.000,5.800,,2030.000,595.000,181.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HCFE-235da2","HCFE-235da2","CHF2OCHClCF3",350.000,2.600,,1230.000,350.000,106.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFC-125            ","HFC-125            ","CHF2CF3",2800.000,29.000,2800.000,6350.000,3500.000,1100.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFC-134            ","HFC-134            ","CHF2CHF2",1000.000,,1000.000,,,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"HFC-134a           ","HFC-134a           ","CH2FCF3",1300.000,14.000,1300.000,3830.000,1430.000,435.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFC-143            ","HFC-143            ","CH3CF3",300.000,,300.000,,,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"HFC-143a           ","HFC-143a           ","CH3CF3",3800.000,52.000,3800.000,5890.000,4470.000,1590.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFC-152a","HFC-152a","CH3CHF2",140.000,1.400,140.000,437.000,124.000,38.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFC-227ea          ","HFC-227ea          ","CF3CHFCF3",2900.000,34.200,2900.000,5310.000,3220.000,1040.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFC-23             ","HFC-23             ","CHF3",11700.000,270.000,11700.000,12000.000,14800.000,12200.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFC-236fa          ","HFC-236fa          ","CF3CH2CF3",6300.000,240.000,6300.000,8100.000,9810.000,7660.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFC-245ca","HFC-245ca","C3H3F5",560.000,6.600,560.000,,,,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFC-245fa          ","HFC-245fa          ","CHF2CH2CF3",1030.000,7.600,560.000,3380.000,1030.000,314.000,,"http://unfccc.int/ghg_data/items/3825.php"
"HFC-32             ","HFC-32             ","CH2F2",650.000,4.900,650.000,2330.000,675.000,205.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFC-365mfc","HFC-365mfc","CH3CF2CH2CF3",794.000,8.600,,2520.000,794.000,241.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFC-41             ","HFC-41             ","CH3F",150.000,,150.000,,,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"HFC-4310mee","HFC-4310mee","CF3CHFCHFCF2CF3",1300.000,15.900,1300.000,4140.000,1640.000,500.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-125","HFE-125","CHF2OCF3",14900.000,136.000,,13800.000,14900.000,8490.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-134","HFE-134","CHF2OCHF2",6320.000,26.000,,12200.000,6320.000,1960.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-143a","HFE-143a","CH3OCF3",756.000,4.300,,2630.000,756.000,230.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-236ca12","HFE-236ca12","CHF2OCF2OCHF2",2800.000,12.100,,8000.000,2800.000,860.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-245cb2","HFE-245cb2","CH3OCF2CHF2",708.000,5.100,,2400.000,708.000,215.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-245fa2","HFE-245fa2","CHF2OCH2CF3",659.000,4.900,,2280.000,659.000,200.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-254cb2","HFE-254cb2","CH3OCF2CHF2",359.000,2.600,,1260.000,359.000,109.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-338pcc13","HFE-338pcc13","CHF2OCF2CF2OCHF2",1500.000,6.200,,5100.000,1500.000,460.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-347mcc3","HFE-347mcc3","CH3OCF2CF2CF3",575.000,5.200,,1980.000,575.000,175.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-347pcf2","HFE-347pcf2","CHF2CF2OCH2CF3",580.000,7.100,,1900.000,580.000,175.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-356pcc3","HFE-356pcc3","CH3OCF2CF2CHF2",110.000,0.330,,386.000,110.000,33.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-43-10pccc124","HFE-43-10pccc124","CHF2OCF2OC2F4OCHF2",1870.000,6.300,,6320.000,1870.000,569.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-449sl","HFE-449sl","C4F9OCH3",297.000,3.800,,1040.000,297.000,90.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"HFE-569sf2","HFE-569sf2","C4F9OC2H5",59.000,0.770,,207.000,59.000,18.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"N2O","nitrous oxide","N20",310.000,114.000,310.000,289.000,298.000,153.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"NF3","nitrogen trifluoride","NF3",17200.000,740.000,,12300.000,17200.000,20700.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"PFPMIE","PFPMIE","CF3OCF(CF3)CF2OCF2OCF3",10300.000,800.000,,7620.000,10300.000,12400.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"R290","R290","C2H8",3.300,,,,3.300,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R404a","R404a","52:44:4 blend of HFC-143a, -125 and -134a",3260.000,,3260.000,,,,," http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R406a","R406a","55:41:4 blend of HCFC-22, HCFC-142b and R600a",1943.000,,,,1943.000,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R407c","R407c","23:25:52 blend of HFC-32, -125 and -134a",1526.000,,1526.000,,,,," http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R408a","R408a","47:7:46 blend HCFC-22, HFC-125 and HFC-143a",2795.000,,2795.000,,,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R409a","R409a","60:25:15 blend of HCFC-22, HCFC-124 and HCFC-142b",1585.000,,,,1585.000,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R410a","R410a","50:50 blend of HFC-32 and -125",1725.000,,1725.000,,,,," http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R417a","R417a","46.6:50:3.4 blend of R-125, R-134a and R-600",1950.000,,1950.000,,,,,"http://www.refrigerants.com/frame.htm"
"R422A","R422A","85.1:11.5:3.4 blend of R-125, R-134a and R-600a",2530.000,,2530.000,,,,,"http://www.refrigerants.com/frame.htm"
"R502","R502","48.8:51.2 blend of HCFC-22 and CFC-115",4657.000,,,,4657.000,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R507","R507","50:50 blend of HFC-125 and HFC-143a",3300.000,,3300.000,,,,," http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R508b","R508b","46:54 blend of HFC-23 and PFC-116",10350.000,,10350.000,,,,," http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"R600a","R600a","C4H10",0.001,,,,0.001,,,"http://www.defra.gov.uk/environment/business/reporting/conversion-factors.htm"
"SF5CF3","trifluoromethyl sulphur pentafluoride","SF5CF3",17700.000,800.000,,13200.000,17700.000,21200.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
"SF6","sulphur hexafluoride","SF6",23900.000,3200.000,23900.000,16300.000,22800.000,32600.000,,"http://www.ipcc.ch/pdf/assessment-report/ar4/wg1/ar4-wg1-chapter2.pdf"
